USD,MXN
1.124669,18.833546
1.122719,18.809695
1.123724,18.798436
1.122864,18.813198
1.120505,18.728692
1.113597,18.792557
1.113333,18.916113
1.113333,18.916113
1.112495,18.900515
1.10628,18.630979
1.105021,18.720827
1.107812,18.683174
1.097845,18.51198
1.103139,18.410952
1.103139,18.410952
